momentum,dedx_mean,dedx_sigma
-2.9850000000000003,,
-2.955,,
-2.925,,
-2.895,,
-2.865,,
-2.835,,
-2.8049999999999997,,
-2.775,,
-2.745,,
-2.715,,
-2.685,,
-2.6550000000000002,,
-2.625,,
-2.5949999999999998,,
-2.565,,
-2.535,,
-2.505,,
-2.475,,
-2.4450000000000003,,
-2.415,,
-2.385,,
-2.355,,
-2.325,,
-2.295,,
-2.265,,
-2.235,,
-2.205,,
-2.175,,
-2.145,,
-2.115,,
-2.085,,
-2.055,,
-2.025,,
-1.9949999999999999,,
-1.9649999999999999,,
-1.935,,
-1.905,,
-1.875,,
-1.8450000000000002,,
-1.815,,
-1.7850000000000001,,
-1.755,,
-1.725,,
-1.695,,
-1.665,,
-1.6350000000000002,,
-1.605,,
-1.5750000000000002,,
-1.545,,
-1.5150000000000001,,
-1.4849999999999999,,
-1.455,,
-1.425,,
-1.395,,
-1.3650000000000002,,
-1.335,,
-1.3050000000000002,,
-1.275,,
-1.245,,
-1.215,,
-1.185,,
-1.1550000000000002,,
-1.125,,
-1.0950000000000002,,
-1.065,,
-1.0350000000000001,,
-1.0050000000000001,,
-0.9750000000000001,,
-0.9450000000000001,,
-0.915,,
-0.885,,
-0.855,,
-0.825,,
-0.7950000000000002,,
-0.7650000000000001,,
-0.7350000000000001,,
-0.7050000000000001,,
-0.675,,
-0.645,,
-0.615,,
-0.5850000000000002,,
-0.5550000000000002,,
-0.5250000000000001,,
-0.4950000000000001,,
-0.4650000000000001,,
-0.43500000000000005,,
-0.405,,
-0.3750000000000002,,
-0.3450000000000002,,
-0.31500000000000017,,
-0.28500000000000014,,
-0.2550000000000001,,
-0.2250000000000001,,
-0.19500000000000006,,
-0.16500000000000004,,
-0.135,,
-0.1050000000000002,,
-0.07500000000000018,,
-0.04500000000000015,,
-0.015000000000000124,,
0.014999999999999902,,
0.04499999999999993,,
0.07499999999999996,,
0.10499999999999998,,
0.135,,
0.1649999999999998,,
0.19499999999999984,,
0.22499999999999987,122.37614638720272,14.743135497633373
0.2549999999999999,123.05380677948355,14.712410169466237
0.2849999999999999,123.76173069941191,14.687073188364465
0.31499999999999995,124.49702110846431,14.666486483958684
0.345,125.25665648001288,14.650030413557472
0.3749999999999998,126.03751725242736,14.637114182018008
0.4049999999999998,126.83641348173492,14.627184409182998
0.43499999999999983,127.65011338610634,14.619731761130499
0.46499999999999986,128.47537245677069,14.614295641837689
0.4949999999999999,129.30896279625867,14.610467012340678
0.5249999999999999,130.14770233589726,14.607889463442852
0.5549999999999999,130.98848358000612,14.606258714790268
0.5849999999999997,131.82830152473738,14.605320747684763
0.6149999999999998,132.66428040491996,14.604868801851085
0.6449999999999998,133.4936989327988,14.604739478322402
0.6749999999999998,134.314013707777,14.604808192681984
0.7049999999999998,135.12288049661217,14.604984216216977
0.7349999999999999,135.91817310810444,14.605205528291094
0.7649999999999999,136.697999615422,14.6054336826693
0.7949999999999999,137.46071571202677,14.605648864893338
0.825,138.204935023635,14.605845288436901
0.8549999999999998,138.92953623780522,14.606027045598287
0.8849999999999998,139.63366695463077,14.606204496276415
0.9149999999999998,140.31674420535913,14.606391245257884
0.9449999999999998,140.9784516304896,14.606601727678788
0.9749999999999999,141.6187333540074,14.606849394082719
1.0049999999999997,142.23778463530712,14.607145461944347
1.0349999999999997,142.83603942447277,14.607498180440958
1.065,143.41415498899156,14.607912540142138
1.0949999999999998,143.972993820294,14.608390349374021
1.1249999999999996,144.51360306597508,14.60893059425354
1.1549999999999998,145.03719176747282,14.609529999452798
1.185,145.54510621319898,14.610183711084922
1.2149999999999999,146.03880374264457,14.61088603095022
1.2449999999999997,146.51982535788986,14.611631141862604
1.275,146.9897675146958,14.61241377593491
1.3050000000000002,147.4502534756101,14.61322979058689
1.335,147.90290461244942,14.614076629742028
1.3649999999999998,148.34931204467452,14.614953659410338
1.395,148.7910089939051,14.615862376972116
1.4249999999999998,149.22944422300998,14.616806501519
1.4549999999999996,149.66595691125025,14.617791958315108
1.4849999999999999,150.10175329493174,14.618826773751259
1.5150000000000001,150.53788537647625,14.619920898206056
1.545,150.97523197413187,14.621085973306815
1.5749999999999997,151.41448235005845,14.622335057626175
1.605,151.85612261711125,14.623682321401963
1.6349999999999998,152.30042508453798,14.625142717007499
1.6649999999999996,152.74744066093973,14.626731628221124
1.6949999999999998,153.19699438961922,14.628464498402215
1.725,153.64868414778434,14.630356435940163
1.755,154.10188249733284,14.632421795156786
1.7849999999999997,154.55574163212876,14.634673732413866
