momentum,dedx_mean,dedx_sigma
-2.9850000000000003,,
-2.955,,
-2.925,,
-2.895,,
-2.865,,
-2.835,,
-2.8049999999999997,,
-2.775,,
-2.745,,
-2.715,,
-2.685,,
-2.6550000000000002,,
-2.625,,
-2.5949999999999998,,
-2.565,,
-2.535,,
-2.505,,
-2.475,,
-2.4450000000000003,,
-2.415,,
-2.385,,
-2.355,,
-2.325,,
-2.295,,
-2.265,,
-2.235,,
-2.205,,
-2.175,,
-2.145,,
-2.115,,
-2.085,,
-2.055,,
-2.025,,
-1.9949999999999999,,
-1.9649999999999999,,
-1.935,,
-1.905,,
-1.875,,
-1.8450000000000002,,
-1.815,,
-1.7850000000000001,,
-1.755,,
-1.725,,
-1.695,,
-1.665,,
-1.6350000000000002,,
-1.605,,
-1.5750000000000002,,
-1.545,,
-1.5150000000000001,,
-1.4849999999999999,,
-1.455,,
-1.425,,
-1.395,,
-1.3650000000000002,,
-1.335,,
-1.3050000000000002,,
-1.275,,
-1.245,,
-1.215,,
-1.185,,
-1.1550000000000002,,
-1.125,,
-1.0950000000000002,,
-1.065,,
-1.0350000000000001,,
-1.0050000000000001,,
-0.9750000000000001,,
-0.9450000000000001,,
-0.915,,
-0.885,,
-0.855,,
-0.825,,
-0.7950000000000002,,
-0.7650000000000001,,
-0.7350000000000001,,
-0.7050000000000001,,
-0.675,,
-0.645,,
-0.615,,
-0.5850000000000002,,
-0.5550000000000002,,
-0.5250000000000001,,
-0.4950000000000001,,
-0.4650000000000001,,
-0.43500000000000005,,
-0.405,,
-0.3750000000000002,,
-0.3450000000000002,,
-0.31500000000000017,,
-0.28500000000000014,,
-0.2550000000000001,,
-0.2250000000000001,,
-0.19500000000000006,,
-0.16500000000000004,,
-0.135,,
-0.1050000000000002,,
-0.07500000000000018,,
-0.04500000000000015,,
-0.015000000000000124,,
0.014999999999999902,,
0.04499999999999993,,
0.07499999999999996,,
0.10499999999999998,,
0.135,,
0.1649999999999998,,
0.19499999999999984,,
0.22499999999999987,1071.2216197264681,78.1726592891553
0.2549999999999999,1010.3515800663342,74.5891571754821
0.2849999999999999,950.286925544574,71.91299964217784
0.31499999999999995,891.4439179988076,69.98919705814627
0.345,834.205861186289,68.66134245436714
0.3749999999999998,778.9183309179925,67.78423972165756
0.4049999999999998,725.8852131001332,67.23247852775428
0.43499999999999983,675.3656239628056,66.90440119493682
0.46499999999999986,627.5717651074197,66.72222847253262
0.4949999999999999,582.6677428749952,66.62965736595511
0.5249999999999999,540.7693576527435,66.58819077763047
0.5549999999999999,501.9448448187331,66.57313526139014
0.5849999999999997,466.21652565091085,66.5698488777187
0.6149999999999998,433.56330455445425,66.57054065473952
0.6449999999999998,403.9239288506115,66.57173393418994
0.6749999999999998,377.20090987064,66.5723901025267
0.7049999999999998,353.26498957188215,66.57262361385538
0.7349999999999999,331.960025898215,66.57290595003845
0.7649999999999999,313.10816276777985,66.57364398714402
0.7949999999999999,296.51514726722894,66.57502043707696
0.825,281.9756571880328,66.57699618799101
0.8549999999999998,269.2785066083319,66.57939291607369
0.8849999999999998,258.2116054004079,66.58199601430815
0.9149999999999998,248.566560139536,66.58463970877666
0.9449999999999998,240.1428184177022,66.587255759067
0.9749999999999999,232.75127551609887,66.58988265696324
1.0049999999999997,226.2172812033062,66.592642868289
1.0349999999999997,220.38300439575502,66.59570132429462
1.065,215.1091339865464,66.59921962506778
1.0949999999999998,210.27591451420605,66.60331829034985
1.1249999999999996,205.7835349911564,66.60805513398988
1.1549999999999998,201.55190740696082,66.61342274216285
1.185,197.51988776530771,66.6193632353152
1.2149999999999999,193.6440063511139,66.62579485317522
1.2449999999999997,189.89678514061862,66.63264292096004
1.275,186.26472829461449,66.63986755936367
1.3050000000000002,182.74607670237077,66.64748189276327
1.335,179.34841920018474,66.65555703829723
1.3649999999999998,176.0862517411017,66.66421324050918
1.395,172.97857142036946,66.67359953886928
1.4249999999999998,170.04658526774858,66.68386678260941
1.4549999999999996,167.31160438636687,66.6951402421537
1.4849999999999999,164.79318285301753,66.70749831134748
1.5150000000000001,162.50754820310442,66.72096284561313
1.545,160.4663568583849,66.73550472501216
1.5749999999999997,158.67579403729837,66.75106559885431
1.605,157.1360239679545,66.76759387223645
1.6349999999999998,155.84098318072728,66.78509027690136
1.6649999999999996,154.77849759559285,66.80365622657969
1.6949999999999998,153.93069356075702,66.82353690584968
1.725,153.27466409890937,66.84515087831642
1.755,152.78334473078516,66.8690989900181
1.7849999999999997,152.4265484274541,66.89614742552938
