momentum,truth_count,predicted_count,correct_count,efficiency,purity
0.10725000000000001,1,1171,0,0.0,0.0
0.12175,0,5920,0,0.0,0.0
0.13625,0,11794,0,0.0,0.0
0.15075,1,16494,0,0.0,0.0
0.16525,2,9091,0,0.0,0.0
0.17975,1,2055,0,0.0,0.0
0.19425,19,39,0,0.0,0.0
0.20875,102,53,6,0.058823529411764705,0.11320754716981132
0.22325,258,50,21,0.08139534883720931,0.42
0.23775000000000002,416,127,89,0.21394230769230768,0.7007874015748031
0.25225,578,179,162,0.28027681660899656,0.9050279329608939
0.26675,713,193,173,0.2426367461430575,0.8963730569948186
0.28125,933,78,74,0.07931404072883172,0.9487179487179487
0.29574999999999996,1094,293,273,0.24954296160877515,0.931740614334471
0.31025,1272,795,724,0.5691823899371069,0.9106918238993711
0.32475,1357,1168,1028,0.7575534266764923,0.8801369863013698
0.33925,1587,1675,1461,0.9206049149338374,0.8722388059701492
0.35375,1760,1966,1691,0.9607954545454546,0.8601220752797558
0.36824999999999997,1808,2041,1751,0.9684734513274337,0.8579127878490935
0.38275,1917,2219,1872,0.9765258215962441,0.8436232537178909
0.39725,1983,2362,1946,0.9813414019162885,0.8238780694326842
0.41174999999999995,2089,2527,2064,0.9880325514600288,0.8167787890779581
0.42624999999999996,2180,2606,2134,0.9788990825688073,0.8188795088257866
0.44075,2210,2652,2172,0.9828054298642533,0.8190045248868778
0.45525,2208,2659,2185,0.9895833333333334,0.8217374952989845
0.46975,2232,2691,2190,0.9811827956989247,0.8138238573021181
0.48424999999999996,2309,2753,2271,0.9835426591598094,0.8249182709771159
0.49874999999999997,2416,2905,2372,0.9817880794701986,0.8165232358003442
0.51325,2451,2897,2415,0.98531211750306,0.833620987228167
0.5277499999999999,2348,2834,2310,0.9838160136286201,0.8151023288637967
0.5422499999999999,2308,2800,2268,0.9826689774696707,0.81
0.55675,2298,2838,2268,0.9869451697127938,0.7991543340380549
0.57125,2336,2887,2287,0.9790239726027398,0.7921718046414964
0.58575,2298,2960,2236,0.9730200174064404,0.7554054054054054
0.60025,2270,3060,2200,0.9691629955947136,0.7189542483660131
0.6147499999999999,2143,3022,2074,0.9678021465235651,0.686300463269358
