momentum_bin_lower,momentum_bin_upper,momentum_center,count,total_count,probability
0.4,0.41300000000000003,0.40650000000000003,4450,41134,0.1081830116205572
0.41300000000000003,0.42600000000000005,0.41950000000000004,5719,42036,0.13605005233609288
0.42600000000000005,0.43900000000000006,0.43250000000000005,6824,43012,0.1586533990514275
0.43900000000000006,0.452,0.4455,7951,43197,0.18406370812787926
0.452,0.465,0.4585,8820,43630,0.20215448086179236
0.465,0.47800000000000004,0.47150000000000003,9406,42957,0.21896314919570734
0.47800000000000004,0.49100000000000005,0.48450000000000004,10249,43105,0.23776824034334765
0.49100000000000005,0.504,0.49750000000000005,10812,43081,0.2509691047097328
0.504,0.517,0.5105,10779,42031,0.2564535699840594
0.517,0.53,0.5235000000000001,11157,41451,0.26916117825866687
0.53,0.543,0.5365,10967,40516,0.27068318688913023
0.543,0.556,0.5495000000000001,10757,38973,0.2760115977728171
0.556,0.5690000000000001,0.5625,10719,38275,0.28005225342913126
0.5690000000000001,0.5820000000000001,0.5755000000000001,10248,37300,0.274745308310992
0.5820000000000001,0.595,0.5885,9790,35356,0.2768978391220726
0.595,0.6080000000000001,0.6015,9569,34694,0.2758113794892489
0.6080000000000001,0.621,0.6145,9178,32976,0.27832362930616206
0.621,0.634,0.6275,8785,31965,0.2748318473330205
0.634,0.647,0.6405000000000001,8387,30480,0.27516404199475064
0.647,0.66,0.6535,8131,29593,0.27476092319129525
0.66,0.673,0.6665000000000001,7651,28478,0.26866352974225716
0.673,0.686,0.6795,7259,27094,0.2679190964789252
0.686,0.6990000000000001,0.6925000000000001,6874,25736,0.2670966739198011
0.6990000000000001,0.7120000000000001,0.7055,6661,25298,0.26330144675468414
0.7120000000000001,0.7250000000000001,0.7185000000000001,6409,24289,0.2638643007122566
0.7250000000000001,0.738,0.7315,5893,22900,0.25733624454148474
0.738,0.7510000000000001,0.7445,5568,21853,0.25479339221159564
0.7510000000000001,0.764,0.7575000000000001,5347,20911,0.2557027401845918
0.764,0.7770000000000001,0.7705000000000001,5103,19985,0.2553415061295972
0.7770000000000001,0.79,0.7835000000000001,4816,19163,0.2513176433752544
0.79,0.803,0.7965,4500,18568,0.24235243429556225
0.803,0.8160000000000001,0.8095000000000001,4364,17663,0.2470701466342071
0.8160000000000001,0.8290000000000001,0.8225,4032,16896,0.23863636363636365
0.8290000000000001,0.8420000000000001,0.8355000000000001,3882,16130,0.24066955982641042
0.8420000000000001,0.855,0.8485,3709,15348,0.24166015115976022
0.855,0.8680000000000001,0.8615,3588,14842,0.24174639536450612
0.8680000000000001,0.881,0.8745,3292,13944,0.23608720596672403
0.881,0.8940000000000001,0.8875000000000001,3073,13448,0.22850981558596073
0.8940000000000001,0.907,0.9005000000000001,3003,12780,0.23497652582159625
0.907,0.92,0.9135,2883,12318,0.23404773502191914
0.92,0.933,0.9265000000000001,2732,11943,0.22875324457841414
0.933,0.9460000000000001,0.9395,2561,11292,0.22679773290825364
0.9460000000000001,0.9590000000000001,0.9525000000000001,2492,10907,0.22847712478224994
0.9590000000000001,0.9720000000000001,0.9655,2360,10382,0.2273165093430938
0.9720000000000001,0.9850000000000001,0.9785000000000001,2276,9893,0.23006165975942586
0.9850000000000001,0.9980000000000001,0.9915,2135,9570,0.22309299895506793
0.9980000000000001,1.0110000000000001,1.0045000000000002,2025,9115,0.22216127262753702
1.0110000000000001,1.024,1.0175,1921,8695,0.22093156986774007
1.024,1.037,1.0305,1787,8367,0.21357714832078403
1.037,1.05,1.0434999999999999,1720,7985,0.21540388227927365
1.05,1.0630000000000002,1.0565000000000002,1606,7644,0.21009942438513868
1.0630000000000002,1.076,1.0695000000000001,1572,7265,0.2163799036476256
1.076,1.089,1.0825,1532,7062,0.21693571226281508
1.089,1.102,1.0955,1406,6805,0.20661278471711977
1.102,1.1150000000000002,1.1085000000000003,1419,6632,0.21396260554885405
1.1150000000000002,1.1280000000000001,1.1215000000000002,1256,6035,0.20811930405965204
1.1280000000000001,1.141,1.1345,1276,6112,0.2087696335078534
1.141,1.1540000000000001,1.1475,1205,5758,0.20927405349079542
1.1540000000000001,1.167,1.1605,1072,5341,0.20071147725145103
1.167,1.1800000000000002,1.1735000000000002,1056,5276,0.2001516300227445
1.1800000000000002,1.193,1.1865,1046,5000,0.2092
1.193,1.206,1.1995,1001,4838,0.20690367920628358
1.206,1.219,1.2125,975,4612,0.2114050303555941
1.219,1.2320000000000002,1.2255000000000003,875,4412,0.19832275611967362
1.2320000000000002,1.245,1.2385000000000002,891,4305,0.2069686411149826
1.245,1.258,1.2515,861,4120,0.20898058252427185
1.258,1.2710000000000001,1.2645,824,3890,0.21182519280205656
1.2710000000000001,1.2840000000000003,1.2775000000000003,760,3681,0.20646563433849496
1.2840000000000003,1.2970000000000002,1.2905000000000002,777,3664,0.21206331877729256
1.2970000000000002,1.31,1.3035,689,3541,0.19457780288054222
1.31,1.323,1.3165,657,3303,0.1989100817438692
1.323,1.336,1.3295,656,3255,0.20153609831029187
1.336,1.3490000000000002,1.3425000000000002,613,3110,0.19710610932475883
1.3490000000000002,1.362,1.3555000000000001,556,2993,0.18576678917474107
1.362,1.375,1.3685,582,2808,0.20726495726495728
1.375,1.3880000000000001,1.3815,548,2742,0.199854121079504
1.3880000000000001,1.4010000000000002,1.3945000000000003,533,2702,0.19726128793486306
1.4010000000000002,1.4140000000000001,1.4075000000000002,455,2426,0.1875515251442704
1.4140000000000001,1.427,1.4205,456,2419,0.18850764778834228
1.427,1.44,1.4335,472,2313,0.20406398616515348
1.44,1.4530000000000003,1.4465000000000001,443,2235,0.1982102908277405
1.4530000000000003,1.4660000000000002,1.4595000000000002,387,2108,0.18358633776091082
1.4660000000000002,1.479,1.4725000000000001,405,2092,0.19359464627151052
1.479,1.492,1.4855,374,1972,0.1896551724137931
1.492,1.5050000000000003,1.4985000000000002,373,1942,0.1920700308959835
1.5050000000000003,1.5180000000000002,1.5115000000000003,359,1878,0.19116080937167199
1.5180000000000002,1.5310000000000001,1.5245000000000002,357,1760,0.2028409090909091
1.5310000000000001,1.544,1.5375,343,1715,0.2
1.544,1.557,1.5505,317,1657,0.19130959565479783
1.557,1.5700000000000003,1.5635000000000001,319,1595,0.2
1.5700000000000003,1.5830000000000002,1.5765000000000002,283,1551,0.1824629271437782
1.5830000000000002,1.596,1.5895000000000001,259,1504,0.17220744680851063
1.596,1.609,1.6025,267,1365,0.1956043956043956
1.609,1.6220000000000003,1.6155000000000002,275,1398,0.19670958512160228
1.6220000000000003,1.6350000000000002,1.6285000000000003,258,1335,0.19325842696629214
1.6350000000000002,1.6480000000000001,1.6415000000000002,233,1277,0.18245888801879404
1.6480000000000001,1.661,1.6545,222,1243,0.17860016090104586
1.661,1.674,1.6675,226,1231,0.18359057676685622
1.674,1.6870000000000003,1.6805,244,1186,0.2057335581787521
1.6870000000000003,1.7000000000000002,1.6935000000000002,206,1097,0.18778486782133091
1.7000000000000002,1.713,1.7065000000000001,198,1059,0.18696883852691218
1.713,1.726,1.7195,178,969,0.18369453044375644
1.726,1.7390000000000003,1.7325000000000002,195,1033,0.1887705711519845
1.7390000000000003,1.7520000000000002,1.7455000000000003,169,994,0.17002012072434608
1.7520000000000002,1.7650000000000001,1.7585000000000002,150,964,0.15560165975103735
1.7650000000000001,1.778,1.7715,169,915,0.18469945355191256
1.778,1.791,1.7845,177,889,0.19910011248593926
1.791,1.8040000000000003,1.7975,161,846,0.19030732860520094
1.8040000000000003,1.8170000000000002,1.8105000000000002,123,791,0.1554993678887484
1.8170000000000002,1.83,1.8235000000000001,168,832,0.20192307692307693
1.83,1.843,1.8365,129,721,0.17891816920943135
1.843,1.8560000000000003,1.8495000000000001,137,776,0.17654639175257733
1.8560000000000003,1.8690000000000002,1.8625000000000003,124,735,0.16870748299319727
1.8690000000000002,1.8820000000000001,1.8755000000000002,139,717,0.19386331938633194
1.8820000000000001,1.895,1.8885,134,722,0.18559556786703602
1.895,1.9080000000000004,1.9015000000000002,107,626,0.17092651757188498
1.9080000000000004,1.9210000000000003,1.9145000000000003,109,626,0.17412140575079874
1.9210000000000003,1.9340000000000002,1.9275000000000002,106,653,0.16232771822358347
1.9340000000000002,1.947,1.9405000000000001,136,642,0.2118380062305296
1.947,1.96,1.9535,83,537,0.15456238361266295
1.96,1.9730000000000003,1.9665000000000001,109,588,0.18537414965986396
1.9730000000000003,1.9860000000000002,1.9795000000000003,90,507,0.17751479289940827
1.9860000000000002,1.999,1.9925000000000002,87,554,0.15703971119133575
1.999,2.012,2.0055,89,554,0.16064981949458484
2.012,2.0250000000000004,2.0185000000000004,83,491,0.1690427698574338
2.0250000000000004,2.0380000000000003,2.0315000000000003,105,487,0.21560574948665298
2.0380000000000003,2.051,2.0445,98,463,0.21166306695464362
2.051,2.064,2.0575,73,447,0.16331096196868009
2.064,2.077,2.0705,70,415,0.1686746987951807
2.077,2.0900000000000003,2.0835,94,400,0.235
2.0900000000000003,2.103,2.0965000000000003,73,417,0.1750599520383693
