momentum,truth_count,predicted_count,correct_count,efficiency,purity
-2.9850000000000003,2,1,1,0.5,1.0
-2.955,1,3,1,1.0,0.3333333333333333
-2.925,0,1,0,0.0,0.0
-2.895,2,2,0,0.0,0.0
-2.865,2,2,1,0.5,0.5
-2.835,2,0,0,0.0,0.0
-2.8049999999999997,2,0,0,0.0,0.0
-2.775,4,0,0,0.0,0.0
-2.745,6,0,0,0.0,0.0
-2.715,7,0,0,0.0,0.0
-2.685,3,0,0,0.0,0.0
-2.6550000000000002,3,0,0,0.0,0.0
-2.625,4,0,0,0.0,0.0
-2.5949999999999998,3,0,0,0.0,0.0
-2.565,6,0,0,0.0,0.0
-2.535,7,0,0,0.0,0.0
-2.505,8,0,0,0.0,0.0
-2.475,5,0,0,0.0,0.0
-2.4450000000000003,6,0,0,0.0,0.0
-2.415,3,0,0,0.0,0.0
-2.385,2,0,0,0.0,0.0
-2.355,5,0,0,0.0,0.0
-2.325,8,0,0,0.0,0.0
-2.295,7,0,0,0.0,0.0
-2.265,13,0,0,0.0,0.0
-2.235,8,0,0,0.0,0.0
-2.205,13,0,0,0.0,0.0
-2.175,8,0,0,0.0,0.0
-2.145,8,0,0,0.0,0.0
-2.115,7,0,0,0.0,0.0
-2.085,19,0,0,0.0,0.0
-2.055,6,0,0,0.0,0.0
-2.025,11,0,0,0.0,0.0
-1.9949999999999999,17,0,0,0.0,0.0
-1.9649999999999999,10,0,0,0.0,0.0
-1.935,21,0,0,0.0,0.0
-1.905,15,0,0,0.0,0.0
-1.875,19,0,0,0.0,0.0
-1.8450000000000002,20,0,0,0.0,0.0
-1.815,23,0,0,0.0,0.0
-1.7850000000000001,27,0,0,0.0,0.0
-1.755,24,0,0,0.0,0.0
-1.725,27,0,0,0.0,0.0
-1.695,23,0,0,0.0,0.0
-1.665,21,0,0,0.0,0.0
-1.6350000000000002,27,0,0,0.0,0.0
-1.605,40,0,0,0.0,0.0
-1.5750000000000002,34,0,0,0.0,0.0
-1.545,32,7,1,0.03125,0.14285714285714285
-1.5150000000000001,45,39,3,0.06666666666666667,0.07692307692307693
-1.4849999999999999,57,60,2,0.03508771929824561,0.03333333333333333
-1.455,35,78,5,0.14285714285714285,0.0641025641025641
-1.425,44,149,1,0.022727272727272728,0.006711409395973154
-1.395,45,137,2,0.044444444444444446,0.014598540145985401
-1.3650000000000002,60,227,3,0.05,0.013215859030837005
-1.335,63,249,2,0.031746031746031744,0.008032128514056224
-1.3050000000000002,59,315,1,0.01694915254237288,0.0031746031746031746
-1.275,78,413,1,0.01282051282051282,0.002421307506053269
-1.245,77,479,0,0.0,0.0
-1.215,63,571,1,0.015873015873015872,0.0017513134851138354
-1.185,89,694,3,0.033707865168539325,0.004322766570605188
-1.1550000000000002,97,812,1,0.010309278350515464,0.0012315270935960591
-1.125,96,948,2,0.020833333333333332,0.002109704641350211
-1.0950000000000002,122,993,0,0.0,0.0
-1.065,110,1087,0,0.0,0.0
-1.0350000000000001,104,1228,0,0.0,0.0
-1.0050000000000001,119,1370,0,0.0,0.0
-0.9750000000000001,123,1575,1,0.008130081300813009,0.0006349206349206349
-0.9450000000000001,124,1791,0,0.0,0.0
-0.915,132,1997,0,0.0,0.0
-0.885,146,2208,0,0.0,0.0
-0.855,147,2461,0,0.0,0.0
-0.825,156,2732,0,0.0,0.0
-0.7950000000000002,162,3015,1,0.006172839506172839,0.0003316749585406302
-0.7650000000000001,204,3223,2,0.00980392156862745,0.0006205398696866273
-0.7350000000000001,181,3568,2,0.011049723756906077,0.0005605381165919282
-0.7050000000000001,188,3878,0,0.0,0.0
-0.675,173,4297,0,0.0,0.0
-0.645,182,4717,0,0.0,0.0
-0.615,149,5075,0,0.0,0.0
-0.5850000000000002,164,5578,0,0.0,0.0
-0.5550000000000002,144,6036,0,0.0,0.0
-0.5250000000000001,143,6463,2,0.013986013986013986,0.00030945381401825775
-0.4950000000000001,106,6926,0,0.0,0.0
-0.4650000000000001,76,7065,0,0.0,0.0
-0.43500000000000005,53,7385,0,0.0,0.0
-0.405,18,7496,1,0.05555555555555555,0.00013340448239060833
-0.3750000000000002,4,4868,0,0.0,0.0
-0.3450000000000002,1,12,0,0.0,0.0
-0.31500000000000017,0,0,0,0.0,0.0
-0.28500000000000014,0,0,0,0.0,0.0
-0.2550000000000001,0,0,0,0.0,0.0
-0.2250000000000001,0,0,0,0.0,0.0
-0.19500000000000006,0,0,0,0.0,0.0
-0.16500000000000004,0,0,0,0.0,0.0
-0.135,0,0,0,0.0,0.0
-0.1050000000000002,0,0,0,0.0,0.0
-0.07500000000000018,0,0,0,0.0,0.0
-0.04500000000000015,0,0,0,0.0,0.0
-0.015000000000000124,0,0,0,0.0,0.0
0.014999999999999902,0,0,0,0.0,0.0
0.04499999999999993,0,0,0,0.0,0.0
0.07499999999999996,1,0,0,0.0,0.0
0.10499999999999998,0,0,0,0.0,0.0
0.135,1,0,0,0.0,0.0
0.1649999999999998,1,0,0,0.0,0.0
0.19499999999999984,1,0,0,0.0,0.0
0.22499999999999987,16,0,0,0.0,0.0
0.2549999999999999,21,0,0,0.0,0.0
0.2849999999999999,65,0,0,0.0,0.0
0.31499999999999995,122,0,0,0.0,0.0
0.345,247,278,17,0.06882591093117409,0.06115107913669065
0.3749999999999998,525,6587,34,0.06476190476190476,0.005161682101108243
0.4049999999999998,968,7474,41,0.042355371900826444,0.0054856837035054855
0.43499999999999983,1629,7516,79,0.048496009821976674,0.010510910058541777
0.46499999999999986,2048,7394,65,0.03173828125,0.008790911549905328
0.4949999999999999,2504,7034,73,0.02915335463258786,0.010378163207278931
0.5249999999999999,2606,6591,85,0.03261703760552571,0.012896373843119405
0.5549999999999999,2516,6117,52,0.02066772655007949,0.008500899133562204
0.5849999999999997,2298,5924,54,0.02349869451697128,0.00911546252532073
0.6149999999999998,2092,5256,45,0.021510516252390057,0.008561643835616438
0.6449999999999998,1899,4903,35,0.018430753027909426,0.007138486640832144
0.6749999999999998,1716,4456,27,0.015734265734265736,0.006059245960502693
0.7049999999999998,1549,4031,19,0.012265978050355068,0.004713470602828083
0.7349999999999999,1297,3790,15,0.01156515034695451,0.00395778364116095
0.7649999999999999,1167,3322,12,0.010282776349614395,0.003612281757977122
0.7949999999999999,1047,3142,9,0.008595988538681949,0.002864417568427753
0.825,944,2771,8,0.00847457627118644,0.00288704438830747
0.8549999999999998,807,2517,1,0.0012391573729863693,0.0003972983710766786
0.8849999999999998,717,2264,5,0.00697350069735007,0.002208480565371025
0.9149999999999998,714,2060,5,0.0070028011204481795,0.0024271844660194173
0.9449999999999998,605,1829,4,0.006611570247933884,0.002186987424822307
0.9749999999999999,511,1616,1,0.0019569471624266144,0.0006188118811881188
1.0049999999999997,442,1406,0,0.0,0.0
1.0349999999999997,439,1297,3,0.00683371298405467,0.002313030069390902
1.065,344,1162,2,0.005813953488372093,0.0017211703958691911
1.0949999999999998,335,1048,3,0.008955223880597015,0.0028625954198473282
1.1249999999999996,281,968,3,0.010676156583629894,0.0030991735537190084
1.1549999999999998,267,855,5,0.018726591760299626,0.005847953216374269
1.185,221,697,5,0.02262443438914027,0.007173601147776184
1.2149999999999999,251,628,6,0.02390438247011952,0.009554140127388535
1.2449999999999997,199,434,7,0.035175879396984924,0.016129032258064516
1.275,173,338,7,0.04046242774566474,0.020710059171597635
1.3050000000000002,159,269,6,0.03773584905660377,0.022304832713754646
1.335,158,162,5,0.03164556962025317,0.030864197530864196
1.3649999999999998,138,100,3,0.021739130434782608,0.03
1.395,120,51,1,0.008333333333333333,0.0196078431372549
1.4249999999999998,95,0,0,0.0,0.0
1.4549999999999996,105,0,0,0.0,0.0
1.4849999999999999,82,0,0,0.0,0.0
1.5150000000000001,89,0,0,0.0,0.0
1.545,83,0,0,0.0,0.0
1.5749999999999997,61,0,0,0.0,0.0
1.605,62,0,0,0.0,0.0
1.6349999999999998,53,0,0,0.0,0.0
1.6649999999999996,58,0,0,0.0,0.0
1.6949999999999998,55,0,0,0.0,0.0
1.725,42,0,0,0.0,0.0
1.755,40,0,0,0.0,0.0
1.7849999999999997,42,0,0,0.0,0.0
1.815,41,0,0,0.0,0.0
1.8449999999999998,23,0,0,0.0,0.0
1.8749999999999996,23,0,0,0.0,0.0
1.9049999999999998,31,0,0,0.0,0.0
1.935,32,0,0,0.0,0.0
1.9649999999999999,19,0,0,0.0,0.0
1.9949999999999997,27,0,0,0.0,0.0
2.025,14,0,0,0.0,0.0
2.0549999999999997,12,0,0,0.0,0.0
2.0849999999999995,13,0,0,0.0,0.0
2.1149999999999998,14,0,0,0.0,0.0
2.145,11,0,0,0.0,0.0
2.175,8,0,0,0.0,0.0
2.2049999999999996,11,0,0,0.0,0.0
2.235,10,0,0,0.0,0.0
2.2649999999999997,13,0,0,0.0,0.0
2.2949999999999995,13,0,0,0.0,0.0
2.3249999999999997,6,0,0,0.0,0.0
2.355,9,0,0,0.0,0.0
2.385,7,0,0,0.0,0.0
2.4149999999999996,9,0,0,0.0,0.0
2.445,7,0,0,0.0,0.0
2.475,12,0,0,0.0,0.0
2.505,4,0,0,0.0,0.0
2.5349999999999997,4,0,0,0.0,0.0
2.565,4,0,0,0.0,0.0
2.5949999999999998,3,0,0,0.0,0.0
2.6249999999999996,9,0,0,0.0,0.0
2.655,9,0,0,0.0,0.0
2.685,5,0,0,0.0,0.0
2.715,3,0,0,0.0,0.0
2.7449999999999997,3,0,0,0.0,0.0
2.775,2,0,0,0.0,0.0
2.8049999999999997,3,0,0,0.0,0.0
2.8349999999999995,6,1,0,0.0,0.0
2.8649999999999998,3,1,0,0.0,0.0
2.895,7,2,2,0.2857142857142857,1.0
2.925,1,0,0,0.0,0.0
2.9549999999999996,5,0,0,0.0,0.0
2.985,5,0,0,0.0,0.0
