momentum,truth_count,predicted_count,correct_count,efficiency,purity
-2.9850000000000003,12,4,3,0.25,0.75
-2.955,10,9,9,0.9,1.0
-2.925,9,11,8,0.8888888888888888,0.7272727272727273
-2.895,19,21,17,0.8947368421052632,0.8095238095238095
-2.865,11,11,10,0.9090909090909091,0.9090909090909091
-2.835,15,14,13,0.8666666666666667,0.9285714285714286
-2.8049999999999997,17,14,12,0.7058823529411765,0.8571428571428571
-2.775,13,9,7,0.5384615384615384,0.7777777777777778
-2.745,18,17,9,0.5,0.5294117647058824
-2.715,16,12,5,0.3125,0.4166666666666667
-2.685,21,10,3,0.14285714285714285,0.3
-2.6550000000000002,22,13,6,0.2727272727272727,0.46153846153846156
-2.625,17,6,1,0.058823529411764705,0.16666666666666666
-2.5949999999999998,22,9,4,0.18181818181818182,0.4444444444444444
-2.565,21,5,3,0.14285714285714285,0.6
-2.535,25,15,5,0.2,0.3333333333333333
-2.505,31,12,5,0.16129032258064516,0.4166666666666667
-2.475,34,13,6,0.17647058823529413,0.46153846153846156
-2.4450000000000003,39,12,5,0.1282051282051282,0.4166666666666667
-2.415,27,14,6,0.2222222222222222,0.42857142857142855
-2.385,27,9,3,0.1111111111111111,0.3333333333333333
-2.355,23,10,4,0.17391304347826086,0.4
-2.325,39,16,8,0.20512820512820512,0.5
-2.295,35,6,2,0.05714285714285714,0.3333333333333333
-2.265,42,18,6,0.14285714285714285,0.3333333333333333
-2.235,43,22,8,0.18604651162790697,0.36363636363636365
-2.205,62,22,10,0.16129032258064516,0.45454545454545453
-2.175,56,17,7,0.125,0.4117647058823529
-2.145,65,18,7,0.1076923076923077,0.3888888888888889
-2.115,56,22,11,0.19642857142857142,0.5
-2.085,52,19,11,0.21153846153846154,0.5789473684210527
-2.055,62,30,12,0.1935483870967742,0.4
-2.025,80,30,20,0.25,0.6666666666666666
-1.9949999999999999,80,26,12,0.15,0.46153846153846156
-1.9649999999999999,93,34,18,0.1935483870967742,0.5294117647058824
-1.935,93,42,24,0.25806451612903225,0.5714285714285714
-1.905,74,45,19,0.25675675675675674,0.4222222222222222
-1.875,111,50,25,0.22522522522522523,0.5
-1.8450000000000002,112,50,28,0.25,0.56
-1.815,125,68,37,0.296,0.5441176470588235
-1.7850000000000001,128,72,41,0.3203125,0.5694444444444444
-1.755,138,71,39,0.2826086956521739,0.5492957746478874
-1.725,152,76,45,0.29605263157894735,0.5921052631578947
-1.695,164,72,50,0.3048780487804878,0.6944444444444444
-1.665,161,89,51,0.3167701863354037,0.5730337078651685
-1.6350000000000002,200,95,58,0.29,0.6105263157894737
-1.605,216,104,66,0.3055555555555556,0.6346153846153846
-1.5750000000000002,235,128,80,0.3404255319148936,0.625
-1.545,245,115,81,0.3306122448979592,0.7043478260869566
-1.5150000000000001,291,121,82,0.281786941580756,0.6776859504132231
-1.4849999999999999,335,136,99,0.2955223880597015,0.7279411764705882
-1.455,330,110,75,0.22727272727272727,0.6818181818181818
-1.425,378,93,63,0.16666666666666666,0.6774193548387096
-1.395,380,99,67,0.1763157894736842,0.6767676767676768
-1.3650000000000002,423,116,76,0.17966903073286053,0.6551724137931034
-1.335,450,112,60,0.13333333333333333,0.5357142857142857
-1.3050000000000002,499,144,82,0.16432865731462926,0.5694444444444444
-1.275,596,183,103,0.17281879194630873,0.5628415300546448
-1.245,616,277,173,0.28084415584415584,0.6245487364620939
-1.215,681,274,189,0.2775330396475771,0.6897810218978102
-1.185,789,288,179,0.22686945500633712,0.6215277777777778
-1.1550000000000002,846,280,161,0.19030732860520094,0.575
-1.125,973,264,145,0.14902363823227133,0.5492424242424242
-1.0950000000000002,1002,266,122,0.1217564870259481,0.45864661654135336
-1.065,1084,261,110,0.1014760147601476,0.421455938697318
-1.0350000000000001,1188,233,103,0.0867003367003367,0.44206008583690987
-1.0050000000000001,1302,230,92,0.0706605222734255,0.4
-0.9750000000000001,1522,262,109,0.07161629434954007,0.41603053435114506
-0.9450000000000001,1680,228,61,0.03630952380952381,0.2675438596491228
-0.915,1857,214,46,0.024771136241249325,0.21495327102803738
-0.885,2049,223,39,0.01903367496339678,0.17488789237668162
-0.855,2247,203,18,0.00801068090787717,0.08866995073891626
-0.825,2468,208,11,0.004457050243111832,0.052884615384615384
-0.7950000000000002,2754,227,9,0.0032679738562091504,0.039647577092511016
-0.7650000000000001,2948,267,7,0.0023744911804613297,0.026217228464419477
-0.7350000000000001,3276,230,3,0.0009157509157509158,0.013043478260869565
-0.7050000000000001,3600,265,1,0.0002777777777777778,0.0037735849056603774
-0.675,3979,259,4,0.0010052777079668257,0.015444015444015444
-0.645,4434,276,1,0.0002255299954894001,0.0036231884057971015
-0.615,4765,247,0,0.0,0.0
-0.5850000000000002,5269,272,3,0.0005693680015183147,0.011029411764705883
-0.5550000000000002,5699,245,4,0.0007018775223723461,0.0163265306122449
-0.5250000000000001,6114,253,2,0.00032711808963035657,0.007905138339920948
-0.4950000000000001,6621,233,1,0.00015103458692040478,0.004291845493562232
-0.4650000000000001,6832,245,1,0.00014637002341920375,0.004081632653061225
-0.43500000000000005,7241,332,3,0.0004143074161027482,0.009036144578313253
-0.405,7476,352,4,0.0005350454788657035,0.011363636363636364
-0.3750000000000002,7544,352,1,0.0001325556733828208,0.002840909090909091
-0.3450000000000002,7319,293,3,0.0004098920617570706,0.010238907849829351
-0.31500000000000017,7324,270,7,0.0009557618787547789,0.025925925925925925
-0.28500000000000014,6712,185,8,0.0011918951132300357,0.043243243243243246
-0.2550000000000001,6498,121,15,0.0023084025854108957,0.12396694214876033
-0.2250000000000001,7619,92,45,0.005906286914293214,0.4891304347826087
-0.19500000000000006,10770,79,74,0.006870937790157846,0.9367088607594937
-0.16500000000000004,8686,84,84,0.009670734515311996,1.0
-0.135,2855,35,35,0.012259194395796848,1.0
-0.1050000000000002,527,25,25,0.04743833017077799,1.0
-0.07500000000000018,79,9,9,0.11392405063291139,1.0
-0.04500000000000015,2,0,0,0.0,0.0
-0.015000000000000124,0,0,0,0.0,0.0
0.014999999999999902,0,0,0,0.0,0.0
0.04499999999999993,1,1,1,1.0,1.0
0.07499999999999996,69,8,8,0.11594202898550725,1.0
0.10499999999999998,453,16,16,0.03532008830022075,1.0
0.135,2846,33,33,0.011595221363316937,1.0
0.1649999999999998,8648,87,86,0.009944495837187789,0.9885057471264368
0.19499999999999984,10871,87,84,0.0077269800386349004,0.9655172413793104
0.22499999999999987,7558,118,51,0.00674781688277322,0.4322033898305085
0.2549999999999999,6752,143,17,0.002517772511848341,0.11888111888111888
0.2849999999999999,6889,254,10,0.0014515894904920889,0.03937007874015748
0.31499999999999995,7260,401,4,0.0005509641873278236,0.00997506234413965
0.345,7522,554,3,0.0003988300983780909,0.005415162454873646
0.3749999999999998,7655,824,3,0.00039190071848465056,0.0036407766990291263
0.4049999999999998,7385,1275,3,0.00040622884224779957,0.002352941176470588
0.43499999999999983,7293,1849,1,0.0001371177841766077,0.0005408328826392645
0.46499999999999986,7110,2191,1,0.00014064697609001407,0.00045641259698767686
0.4949999999999999,6614,2599,0,0.0,0.0
0.5249999999999999,6169,2658,0,0.0,0.0
0.5549999999999999,5704,2597,0,0.0,0.0
0.5849999999999997,5519,2366,0,0.0,0.0
0.6149999999999998,4850,2152,0,0.0,0.0
0.6449999999999998,4519,1977,3,0.0006638636866563399,0.0015174506828528073
0.6749999999999998,4072,1752,2,0.0004911591355599214,0.001141552511415525
0.7049999999999998,3687,1597,0,0.0,0.0
0.7349999999999999,3473,1361,5,0.0014396775122372588,0.0036737692872887582
0.7649999999999999,3010,1222,5,0.0016611295681063123,0.004091653027823241
0.7949999999999999,2863,1108,15,0.005239259517988124,0.013537906137184115
0.825,2538,1005,19,0.007486209613869189,0.01890547263681592
0.8549999999999998,2293,894,32,0.013955516790231139,0.035794183445190156
0.8849999999999998,2052,806,52,0.025341130604288498,0.06451612903225806
0.9149999999999998,1885,804,62,0.03289124668435013,0.07711442786069651
0.9449999999999998,1744,728,85,0.04873853211009174,0.11675824175824176
0.9749999999999999,1547,621,82,0.053005817711700064,0.1320450885668277
1.0049999999999997,1330,579,99,0.07443609022556391,0.17098445595854922
1.0349999999999997,1231,573,109,0.08854589764419171,0.19022687609075042
1.065,1162,509,145,0.12478485370051635,0.28487229862475444
1.0949999999999998,1055,499,146,0.13838862559241707,0.2925851703406814
1.1249999999999996,1012,478,165,0.16304347826086957,0.34518828451882844
1.1549999999999998,873,420,140,0.16036655211912945,0.3333333333333333
1.185,796,367,142,0.17839195979899497,0.3869209809264305
1.2149999999999999,721,327,87,0.12066574202496533,0.26605504587155965
1.2449999999999997,591,250,83,0.1404399323181049,0.332
1.275,565,205,96,0.16991150442477876,0.4682926829268293
1.3050000000000002,546,202,134,0.2454212454212454,0.6633663366336634
1.335,471,184,136,0.28874734607218683,0.7391304347826086
1.3649999999999998,452,219,160,0.35398230088495575,0.730593607305936
1.395,370,213,156,0.42162162162162165,0.7323943661971831
1.4249999999999998,376,228,187,0.4973404255319149,0.8201754385964912
