momentum,truth_count,predicted_count,correct_count,efficiency,purity
-2.9850000000000003,3,0,0,0.0,0.0
-2.955,1,0,0,0.0,0.0
-2.925,3,0,0,0.0,0.0
-2.895,2,0,0,0.0,0.0
-2.865,1,0,0,0.0,0.0
-2.835,0,0,0,0.0,0.0
-2.8049999999999997,2,0,0,0.0,0.0
-2.775,2,0,0,0.0,0.0
-2.745,5,0,0,0.0,0.0
-2.715,4,0,0,0.0,0.0
-2.685,5,0,0,0.0,0.0
-2.6550000000000002,7,0,0,0.0,0.0
-2.625,4,0,0,0.0,0.0
-2.5949999999999998,7,0,0,0.0,0.0
-2.565,1,0,0,0.0,0.0
-2.535,9,0,0,0.0,0.0
-2.505,4,0,0,0.0,0.0
-2.475,4,0,0,0.0,0.0
-2.4450000000000003,7,0,0,0.0,0.0
-2.415,7,0,0,0.0,0.0
-2.385,6,0,0,0.0,0.0
-2.355,5,0,0,0.0,0.0
-2.325,8,0,0,0.0,0.0
-2.295,1,0,0,0.0,0.0
-2.265,6,0,0,0.0,0.0
-2.235,15,0,0,0.0,0.0
-2.205,13,0,0,0.0,0.0
-2.175,8,0,0,0.0,0.0
-2.145,16,0,0,0.0,0.0
-2.115,11,0,0,0.0,0.0
-2.085,6,0,0,0.0,0.0
-2.055,18,0,0,0.0,0.0
-2.025,13,0,0,0.0,0.0
-1.9949999999999999,17,0,0,0.0,0.0
-1.9649999999999999,15,0,0,0.0,0.0
-1.935,15,0,0,0.0,0.0
-1.905,26,0,0,0.0,0.0
-1.875,28,0,0,0.0,0.0
-1.8450000000000002,21,0,0,0.0,0.0
-1.815,32,0,0,0.0,0.0
-1.7850000000000001,23,0,0,0.0,0.0
-1.755,32,0,0,0.0,0.0
-1.725,31,0,0,0.0,0.0
-1.695,22,0,0,0.0,0.0
-1.665,42,0,0,0.0,0.0
-1.6350000000000002,44,0,0,0.0,0.0
-1.605,40,0,0,0.0,0.0
-1.5750000000000002,62,0,0,0.0,0.0
-1.545,41,0,0,0.0,0.0
