momentum,dedx_mean,dedx_sigma
-2.9850000000000003,,
-2.955,,
-2.925,,
-2.895,,
-2.865,,
-2.835,,
-2.8049999999999997,,
-2.775,,
-2.745,,
-2.715,,
-2.685,,
-2.6550000000000002,,
-2.625,,
-2.5949999999999998,,
-2.565,,
-2.535,,
-2.505,,
-2.475,,
-2.4450000000000003,,
-2.415,,
-2.385,,
-2.355,,
-2.325,,
-2.295,,
-2.265,,
-2.235,,
-2.205,,
-2.175,,
-2.145,,
-2.115,,
-2.085,,
-2.055,,
-2.025,,
-1.9949999999999999,,
-1.9649999999999999,,
-1.935,,
-1.905,,
-1.875,,
-1.8450000000000002,,
-1.815,,
-1.7850000000000001,,
-1.755,,
-1.725,,
-1.695,,
-1.665,,
-1.6350000000000002,,
-1.605,,
-1.5750000000000002,,
-1.545,,
-1.5150000000000001,,
-1.4849999999999999,,
-1.455,,
-1.425,,
-1.395,,
-1.3650000000000002,,
-1.335,,
-1.3050000000000002,,
-1.275,,
-1.245,,
-1.215,,
-1.185,,
-1.1550000000000002,,
-1.125,,
-1.0950000000000002,,
-1.065,,
-1.0350000000000001,,
-1.0050000000000001,,
-0.9750000000000001,,
-0.9450000000000001,,
-0.915,,
-0.885,,
-0.855,,
-0.825,,
-0.7950000000000002,,
-0.7650000000000001,,
-0.7350000000000001,,
-0.7050000000000001,,
-0.675,,
-0.645,,
-0.615,,
-0.5850000000000002,,
-0.5550000000000002,,
-0.5250000000000001,,
-0.4950000000000001,,
-0.4650000000000001,,
-0.43500000000000005,,
-0.405,,
-0.3750000000000002,,
-0.3450000000000002,,
-0.31500000000000017,,
-0.28500000000000014,,
-0.2550000000000001,,
-0.2250000000000001,,
-0.19500000000000006,,
-0.16500000000000004,,
-0.135,,
-0.1050000000000002,,
-0.07500000000000018,,
-0.04500000000000015,,
-0.015000000000000124,,
0.014999999999999902,,
0.04499999999999993,,
0.07499999999999996,,
0.10499999999999998,,
0.135,,
0.1649999999999998,,
0.19499999999999984,,
0.22499999999999987,230.56134474885573,112.71212372488301
0.2549999999999999,342.9446887306432,108.38888531027216
0.2849999999999999,455.63501498513665,106.31402633077045
0.31499999999999995,555.8694250413596,105.4538749575382
0.345,632.8351741764882,105.11902834960361
0.3749999999999998,679.7057103170671,104.97460863409184
0.4049999999999998,694.7858141121241,104.9005420454759
0.43499999999999983,681.4460049187984,104.8615330307574
0.46499999999999986,646.8813806982887,104.84285124716268
0.4949999999999999,600.0865061304356,104.83460713852277
0.5249999999999999,549.6652716340916,104.83142686142537
0.5549999999999999,502.1069556654412,104.83122865903529
0.5849999999999997,460.9547407599696,104.83290033670252
0.6149999999999998,426.955203868846,104.83562800277569
0.6449999999999998,398.9424089988754,104.83933731255019
0.6749999999999998,375.0057636055685,104.84454414089211
0.7049999999999998,353.4818883688019,104.85146351359629
0.7349999999999999,333.47589581928844,104.8594080320158
0.7649999999999999,314.8650584021167,104.86716758049022
0.7949999999999999,297.95328849429757,104.87409838959896
0.825,283.04387764886553,104.8809753575475
0.8549999999999998,270.1601862629741,104.88973997736105
0.8849999999999998,259.0130103319399,104.90220503946014
0.9149999999999998,249.16705592696283,104.91881464189608
0.9449999999999998,240.2681460479357,104.9385083783907
0.9749999999999999,232.1894922256366,104.95954328332158
1.0049999999999997,225.02440289220925,104.9802680069057
1.0349999999999997,218.94709377146586,104.99940578798636
1.065,214.03172801002552,105.0164247941814
1.0949999999999998,210.13244593169927,105.03234961881459
1.1249999999999996,206.8858632456682,105.05007147664695
1.1549999999999998,203.8300328462564,105.07295989504914
1.185,200.5764057370753,105.10241210860127
1.2149999999999999,196.95021694435204,105.13687081015264
1.2449999999999997,193.03559147044206,105.17389517454431
1.275,189.10994506550026,105.21335056979542
1.3050000000000002,185.50282272362364,105.25765686347789
1.335,182.44437037123285,105.30762069866324
1.3649999999999998,179.96747256023033,105.35787858034519
1.395,177.8994968874013,105.39836121830032
1.4249999999999998,175.93972133876227,105.42335362904201
1.4549999999999996,173.78479518350764,105.4410057126537
1.4849999999999999,171.24973920196732,105.47262738240316
1.5150000000000001,168.33921181519932,105.53872738162016
1.545,165.24703074368028,105.64232267228483
1.5749999999999997,162.29004862464706,105.76561031775006
1.605,159.8043908984759,105.88504618387731
1.6349999999999998,158.04106282067295,105.99129044644329
1.6649999999999996,157.0932485677332,106.09431344437147
1.6949999999999998,156.87342090662605,106.2088174459858
1.725,157.14114367871525,106.33623049596848
1.755,157.56818690324332,106.46298840745851
1.7849999999999997,157.81989267925604,106.57550093856916
