momentum_bin_lower,momentum_bin_upper,momentum_center,count,total_count,probability
1.492,1.5050000000000003,1.4985000000000002,8,1942,0.004119464469618949
1.5050000000000003,1.5180000000000002,1.5115000000000003,7,1878,0.003727369542066028
1.5180000000000002,1.5310000000000001,1.5245000000000002,10,1760,0.005681818181818182
1.5310000000000001,1.544,1.5375,3,1715,0.001749271137026239
1.544,1.557,1.5505,4,1657,0.0024140012070006035
1.557,1.5700000000000003,1.5635000000000001,4,1595,0.0025078369905956114
1.5700000000000003,1.5830000000000002,1.5765000000000002,6,1551,0.0038684719535783366
1.5830000000000002,1.596,1.5895000000000001,9,1504,0.005984042553191489
1.596,1.609,1.6025,4,1365,0.0029304029304029304
1.609,1.6220000000000003,1.6155000000000002,5,1398,0.00357653791130186
1.6220000000000003,1.6350000000000002,1.6285000000000003,4,1335,0.00299625468164794
1.6350000000000002,1.6480000000000001,1.6415000000000002,0,1277,0.0
1.6480000000000001,1.661,1.6545,4,1243,0.003218020917135961
1.661,1.674,1.6675,3,1231,0.002437043054427295
1.674,1.6870000000000003,1.6805,0,1186,0.0
1.6870000000000003,1.7000000000000002,1.6935000000000002,1,1097,0.0009115770282588879
1.7000000000000002,1.713,1.7065000000000001,5,1059,0.004721435316336166
1.713,1.726,1.7195,0,969,0.0
1.726,1.7390000000000003,1.7325000000000002,5,1033,0.00484027105517909
1.7390000000000003,1.7520000000000002,1.7455000000000003,3,994,0.0030181086519114686
1.7520000000000002,1.7650000000000001,1.7585000000000002,1,964,0.001037344398340249
1.7650000000000001,1.778,1.7715,3,915,0.003278688524590164
1.778,1.791,1.7845,2,889,0.0022497187851518562
1.791,1.8040000000000003,1.7975,3,846,0.0035460992907801418
1.8040000000000003,1.8170000000000002,1.8105000000000002,4,791,0.0050568900126422255
1.8170000000000002,1.83,1.8235000000000001,3,832,0.003605769230769231
1.83,1.843,1.8365,1,721,0.0013869625520110957
1.843,1.8560000000000003,1.8495000000000001,4,776,0.005154639175257732
1.8560000000000003,1.8690000000000002,1.8625000000000003,2,735,0.0027210884353741495
1.8690000000000002,1.8820000000000001,1.8755000000000002,2,717,0.002789400278940028
1.8820000000000001,1.895,1.8885,4,722,0.00554016620498615
1.895,1.9080000000000004,1.9015000000000002,0,626,0.0
1.9080000000000004,1.9210000000000003,1.9145000000000003,0,626,0.0
1.9210000000000003,1.9340000000000002,1.9275000000000002,3,653,0.004594180704441042
1.9340000000000002,1.947,1.9405000000000001,2,642,0.003115264797507788
1.947,1.96,1.9535,1,537,0.00186219739292365
1.96,1.9730000000000003,1.9665000000000001,2,588,0.003401360544217687
1.9730000000000003,1.9860000000000002,1.9795000000000003,0,507,0.0
1.9860000000000002,1.999,1.9925000000000002,2,554,0.0036101083032490976
1.999,2.012,2.0055,2,554,0.0036101083032490976
2.012,2.0250000000000004,2.0185000000000004,2,491,0.004073319755600814
2.0250000000000004,2.0380000000000003,2.0315000000000003,2,487,0.004106776180698152
