momentum_bin_lower,momentum_bin_upper,momentum_center,count,total_count,probability
0.4,0.41300000000000003,0.40650000000000003,1710,41134,0.041571449409247827
0.41300000000000003,0.42600000000000005,0.41950000000000004,1687,42036,0.04013226758016938
0.42600000000000005,0.43900000000000006,0.43250000000000005,1538,43012,0.03575746303357202
0.43900000000000006,0.452,0.4455,1494,43197,0.03458573512049448
0.452,0.465,0.4585,1320,43630,0.03025441210176484
0.465,0.47800000000000004,0.47150000000000003,1210,42957,0.028167702586307238
0.47800000000000004,0.49100000000000005,0.48450000000000004,1144,43105,0.02653984456559564
0.49100000000000005,0.504,0.49750000000000005,1175,43081,0.027274204405654465
0.504,0.517,0.5105,1075,42031,0.025576360305488807
0.517,0.53,0.5235000000000001,983,41451,0.02371474753323201
0.53,0.543,0.5365,869,40516,0.02144831671438444
0.543,0.556,0.5495000000000001,865,38973,0.022194852846842687
0.556,0.5690000000000001,0.5625,759,38275,0.019830176355323317
0.5690000000000001,0.5820000000000001,0.5755000000000001,750,37300,0.020107238605898123
0.5820000000000001,0.595,0.5885,671,35356,0.018978391220726327
0.595,0.6080000000000001,0.6015,652,34694,0.018792874848677005
0.6080000000000001,0.621,0.6145,565,32976,0.01713367297428433
0.621,0.634,0.6275,564,31965,0.017644298451431253
0.634,0.647,0.6405000000000001,529,30480,0.017355643044619423
0.647,0.66,0.6535,426,29593,0.014395296184908594
0.66,0.673,0.6665000000000001,446,28478,0.015661212163775546
0.673,0.686,0.6795,445,27094,0.01642430058315494
0.686,0.6990000000000001,0.6925000000000001,366,25736,0.014221324215107243
0.6990000000000001,0.7120000000000001,0.7055,361,25298,0.014269902759111393
0.7120000000000001,0.7250000000000001,0.7185000000000001,382,24289,0.01572728395570011
0.7250000000000001,0.738,0.7315,350,22900,0.015283842794759825
0.738,0.7510000000000001,0.7445,328,21853,0.0150093808630394
0.7510000000000001,0.764,0.7575000000000001,281,20911,0.013437903495767779
0.764,0.7770000000000001,0.7705000000000001,237,19985,0.01185889417062797
0.7770000000000001,0.79,0.7835000000000001,286,19163,0.014924594270208215
0.79,0.803,0.7965,259,18568,0.01394872899612236
0.803,0.8160000000000001,0.8095000000000001,202,17663,0.01143633584328823
0.8160000000000001,0.8290000000000001,0.8225,203,16896,0.01201467803030303
0.8290000000000001,0.8420000000000001,0.8355000000000001,201,16130,0.012461252324860509
0.8420000000000001,0.855,0.8485,168,15348,0.0109460516028147
0.855,0.8680000000000001,0.8615,200,14842,0.013475272874275704
0.8680000000000001,0.881,0.8745,154,13944,0.01104417670682731
0.881,0.8940000000000001,0.8875000000000001,168,13448,0.012492563950029744
0.8940000000000001,0.907,0.9005000000000001,160,12780,0.012519561815336464
0.907,0.92,0.9135,136,12318,0.011040753369053418
0.92,0.933,0.9265000000000001,130,11943,0.010885037260319853
0.933,0.9460000000000001,0.9395,146,11292,0.012929507616011335
0.9460000000000001,0.9590000000000001,0.9525000000000001,104,10907,0.009535160905840286
0.9590000000000001,0.9720000000000001,0.9655,111,10382,0.010691581583509921
0.9720000000000001,0.9850000000000001,0.9785000000000001,87,9893,0.008794096836146771
0.9850000000000001,0.9980000000000001,0.9915,106,9570,0.011076280041797283
0.9980000000000001,1.0110000000000001,1.0045000000000002,96,9115,0.010532089961601755
1.0110000000000001,1.024,1.0175,95,8695,0.010925819436457734
1.024,1.037,1.0305,95,8367,0.01135412931755707
1.037,1.05,1.0434999999999999,98,7985,0.012273011897307451
1.05,1.0630000000000002,1.0565000000000002,74,7644,0.00968079539508111
1.0630000000000002,1.076,1.0695000000000001,67,7265,0.009222298692360633
1.076,1.089,1.0825,73,7062,0.010337015009912206
1.089,1.102,1.0955,58,6805,0.00852314474650992
1.102,1.1150000000000002,1.1085000000000003,65,6632,0.009800965018094089
1.1150000000000002,1.1280000000000001,1.1215000000000002,46,6035,0.007622203811101905
1.1280000000000001,1.141,1.1345,50,6112,0.008180628272251309
1.141,1.1540000000000001,1.1475,47,5758,0.008162556443209448
1.1540000000000001,1.167,1.1605,47,5341,0.008799850215315484
1.167,1.1800000000000002,1.1735000000000002,58,5276,0.010993176648976498
1.1800000000000002,1.193,1.1865,43,5000,0.0086
1.193,1.206,1.1995,48,4838,0.009921455146754857
1.206,1.219,1.2125,40,4612,0.008673026886383347
1.219,1.2320000000000002,1.2255000000000003,44,4412,0.009972801450589302
1.2320000000000002,1.245,1.2385000000000002,49,4305,0.011382113821138212
1.245,1.258,1.2515,41,4120,0.009951456310679611
1.258,1.2710000000000001,1.2645,28,3890,0.0071979434447300775
1.2710000000000001,1.2840000000000003,1.2775000000000003,28,3681,0.007606628633523499
1.2840000000000003,1.2970000000000002,1.2905000000000002,39,3664,0.01064410480349345
1.2970000000000002,1.31,1.3035,21,3541,0.005930528099406947
1.31,1.323,1.3165,28,3303,0.008477141992128368
1.323,1.336,1.3295,26,3255,0.007987711213517665
1.336,1.3490000000000002,1.3425000000000002,27,3110,0.008681672025723473
1.3490000000000002,1.362,1.3555000000000001,37,2993,0.012362178416304711
1.362,1.375,1.3685,27,2808,0.009615384615384616
1.375,1.3880000000000001,1.3815,25,2742,0.00911743253099927
1.3880000000000001,1.4010000000000002,1.3945000000000003,25,2702,0.009252405625462621
1.4010000000000002,1.4140000000000001,1.4075000000000002,15,2426,0.006183017312448475
1.4140000000000001,1.427,1.4205,23,2419,0.009508061182306739
1.427,1.44,1.4335,25,2313,0.010808473843493299
1.44,1.4530000000000003,1.4465000000000001,17,2235,0.007606263982102908
1.4530000000000003,1.4660000000000002,1.4595000000000002,15,2108,0.007115749525616698
1.4660000000000002,1.479,1.4725000000000001,15,2092,0.007170172084130019
1.479,1.492,1.4855,12,1972,0.006085192697768763
1.492,1.5050000000000003,1.4985000000000002,19,1942,0.009783728115345005
1.5050000000000003,1.5180000000000002,1.5115000000000003,17,1878,0.009052183173588925
1.5180000000000002,1.5310000000000001,1.5245000000000002,15,1760,0.008522727272727272
1.5310000000000001,1.544,1.5375,12,1715,0.006997084548104956
1.544,1.557,1.5505,10,1657,0.006035003017501509
1.557,1.5700000000000003,1.5635000000000001,13,1595,0.008150470219435737
1.5700000000000003,1.5830000000000002,1.5765000000000002,4,1551,0.0025789813023855577
1.5830000000000002,1.596,1.5895000000000001,10,1504,0.006648936170212766
1.596,1.609,1.6025,13,1365,0.009523809523809525
1.609,1.6220000000000003,1.6155000000000002,8,1398,0.005722460658082976
1.6220000000000003,1.6350000000000002,1.6285000000000003,4,1335,0.00299625468164794
1.6350000000000002,1.6480000000000001,1.6415000000000002,14,1277,0.01096319498825372
1.6480000000000001,1.661,1.6545,13,1243,0.010458567980691875
1.661,1.674,1.6675,10,1231,0.008123476848090982
1.674,1.6870000000000003,1.6805,6,1186,0.00505902192242833
1.6870000000000003,1.7000000000000002,1.6935000000000002,15,1097,0.013673655423883319
1.7000000000000002,1.713,1.7065000000000001,2,1059,0.0018885741265344666
1.713,1.726,1.7195,11,969,0.011351909184726523
1.726,1.7390000000000003,1.7325000000000002,8,1033,0.007744433688286544
1.7390000000000003,1.7520000000000002,1.7455000000000003,8,994,0.008048289738430584
1.7520000000000002,1.7650000000000001,1.7585000000000002,14,964,0.014522821576763486
1.7650000000000001,1.778,1.7715,4,915,0.004371584699453552
1.778,1.791,1.7845,9,889,0.010123734533183352
1.791,1.8040000000000003,1.7975,5,846,0.00591016548463357
